goal_id,driver_id,driver_name,persona,goal_name,event_date,event_type,amount,currency,running_goal_balance,source
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-02-18,contribution,10,SGD,10,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-02-25,contribution,20,SGD,30,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-03-04,contribution,20,SGD,50,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-03-11,contribution,20,SGD,70,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-03-18,contribution,10,SGD,80,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-03-25,contribution,20,SGD,100,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-04-01,contribution,10,SGD,110,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-04-08,missed,0.0,SGD,110,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-04-15,missed,0.0,SGD,110,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-04-22,contribution,20,SGD,130,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-04-29,missed,0.0,SGD,130,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-05-06,contribution,20,SGD,150,auto_sweep
goal_siti_sg_10_1,drv_siti_sg_10,Siti Rahman,firefighter,Health insurance premium fund,2026-05-13,contribution,20,SGD,170,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-03-16,contribution,20,SGD,20,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-03-23,missed,0.0,SGD,20,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-03-30,contribution,20,SGD,40,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-04-06,contribution,20,SGD,60,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-04-13,missed,0.0,SGD,60,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-04-20,missed,0.0,SGD,60,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-04-27,contribution,20,SGD,80,auto_sweep
goal_siti_sg_10_3,drv_siti_sg_10,Siti Rahman,firefighter,Pay off vehicle loan early,2026-05-04,missed,0.0,SGD,80,auto_sweep
